source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram,battery_applicable,type_was_missing,connection_was_missing,battery_life_hours_was_missing,weight_gram_was_missing,price_vnd_capped,price_vnd_original,brand_grouped,connection_grouped,price_per_gram,price_per_battery_hour
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-baseus-h1-pro.html,Tai nghe Bluetooth chụp tai Baseus H1 Pro,1.190.000đ,0.0,Baseus,over-ear,0,1,1,Bluetooth,2.1315789473684212,1.0518934081346423,1,0,0,0,0,1190000,1190000,Baseus,Bluetooth,4490.566037735849,17629.62962962963
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-jbl-tune-buds-2.html,Tai nghe Bluetooth True Wireless JBL Tune Buds 2,2.690.000đ,0.5102040816326531,Jbl,in-ear,0,1,1,Bluetooth,0.47368421052631576,-0.16129032258064516,1,0,0,0,0,2690000,2690000,Jbl,Bluetooth,489090.9090909091,74722.22222222222
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-anker-soundcore-r50i-a3949.html,Tai nghe Bluetooth True Wireless Anker Soundcore R50i A3949,525.000đ,-0.2261904761904762,Anker,in-ear,0,1,1,Bluetooth,0.15789473684210525,0.025058438522674142,1,0,0,0,0,525000,525000,Other,Bluetooth,11574.074074074075,17500.0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-bose-quietcomfort-ultra-earbuds-2.html,Tai nghe Bluetooth True Wireless Bose Quietcomfort Ultra Earbuds 2,7.490.000đ,2.142857142857143,Bose,in-ear,0,1,1,Bluetooth,-1.105263157894737,-0.1589527816736793,1,0,0,0,0,7490000,7490000,Other,Bluetooth,1248333.3333333333,1248333.3333333333
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-jbl-wave-beam.html,Tai nghe Bluetooth True Wireless JBL Wave Beam,1.490.000đ,0.10204081632653061,Jbl,in-ear,0,1,1,Bluetooth,-0.15789473684210525,-0.1458625525946704,1,0,0,0,0,1490000,1490000,Jbl,Bluetooth,169318.1818181818,62083.333333333336
cellphones,https://cellphones.com.vn/tai-nghe-gaming-co-day-dareu-eh406.html,Tai nghe chụp tai Gaming có dây DareU EH406,219.000đ,-0.3302721088435374,Dareu,over-ear,1,0,1,USB-A,,1.1220196353436185,0,0,1,1,0,219000,219000,Other,USB-A,782.1428571428571,
cellphones,https://cellphones.com.vn/tai-nghe-chong-on-jbl-t600btnc.html,Tai nghe chụp tai JBL T600BTNC,1.800.000đ,0.20748299319727892,Jbl,over-ear,0,0,0,3.5mm,,0.8391771856007479,0,0,1,1,0,1800000,1800000,Jbl,3.5mm,8200.455580865604,
cellphones,https://cellphones.com.vn/tai-nghe-samsung-galaxy-buds-3-pro.html,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 3 Pro,5.400.000đ,1.4319727891156462,Samsung,in-ear,0,1,1,Bluetooth,0.38421052631578934,-0.16175783076203834,1,0,0,0,0,5400000,5400000,Other,Bluetooth,999999.9999999999,157434.40233236153
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-huawei-freebuds-se-2.html,Tai nghe Bluetooth True Wireless Huawei FreeBuds SE 2,790.000đ,-0.1360544217687075,Huawei,in-ear,0,1,1,Bluetooth,0.3684210526315789,-0.1624590930341281,1,0,0,0,1,790000,790000,Other,Bluetooth,150476.19047619047,23235.29411764706
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-samsung-galaxy-buds-core.html,Tai nghe Bluetooth Samsung Galaxy Buds Core (ANC),1.190.000đ,0.0,Samsung,in-ear,0,1,0,Type C+Bluetooth,-1.0,-0.16222533894343152,1,0,0,0,0,1190000,1190000,Other,Type C+Bluetooth,224528.30188679247,148750.0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-marshall-minor-4.html,Tai nghe Bluetooth True Wireless Marshall Minor IV,3.390.000đ,0.7482993197278912,Marshall,in-ear,0,1,1,Bluetooth,0.15789473684210525,-0.15245441795231415,1,0,0,0,0,3390000,3390000,Other,Bluetooth,458728.0108254398,113000.0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-true-wireless-huawei-freebuds-se-4.html,Tai nghe Bluetooth True Wireless Huawei Freebuds SE 4 (ANC),990.000đ,-0.06802721088435375,Huawei,in-ear,0,1,1,Bluetooth,1.2105263157894737,-0.16690042075736325,1,0,0,0,0,990000,990000,Other,Bluetooth,230232.5581395349,19800.0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-xiaomi-redmi-buds-6.html,Tai nghe không dây Xiaomi Redmi Buds 6,1.490.000đ,0.10204081632653061,Xiaomi,in-ear,0,1,0,Bluetooth,0.24736842105263154,-0.16362786348761102,1,0,0,0,0,1490000,1490000,Xiaomi,Bluetooth,298000.0,47003.154574132495
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-chup-tai-akg-y500.html,Tai nghe Bluetooth chụp tai AKG Y500,3.990.000đ,0.9523809523809523,Hãng Khác,over-ear,0,1,0,Bluetooth,1.736842105263158,0.8882655446470313,1,0,0,0,0,3990000,3990000,Other,Bluetooth,17347.82608695652,66500.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-xb910n.html,Tai nghe chụp tai WH-XB910N,4.590.000đ,1.1564625850340136,Sony,over-ear,0,0,0,3.5mm,,0.9911173445535296,0,0,1,0,0,4590000,4590000,Sony,3.5mm,18214.285714285714,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-jbl-junior-320bt.html,Tai nghe Bluetooth chụp tai JBL Junior 320BT,5.000.000đ,1.2959183673469388,Jbl,over-ear,0,1,0,Bluetooth,1.7894736842105263,0.8391771856007479,1,0,0,0,0,5000000,5000000,Jbl,Bluetooth,22779.04328018223,81967.2131147541
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-sony-wf-1000xm5.html,Tai nghe Bluetooth True Wireless Sony WF-1000XM5,6.990.000đ,1.9727891156462585,Sony,in-ear,0,1,1,Bluetooth,-0.7894736842105263,-0.15942028985507248,1,0,0,0,0,6990000,6990000,Sony,Bluetooth,1184745.7627118644,582500.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-logitech-zone-vibe-100.html,Tai nghe Bluetooth chụp tai Gaming Logitech Zone Vibe 100,5.000.000đ,1.2959183673469388,Logitech,over-ear,1,1,1,Bluetooth,-0.3684210526315789,0.6778868630201028,1,0,0,0,0,5000000,5000000,Other,Bluetooth,27027.027027027027,250000.0
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-jbl-tune-beam-2.html,Tai nghe không dây JBL Tune Beam 2,2.345.000đ,0.39285714285714285,Jbl,in-ear,0,1,0,Bluetooth,0.6473684210526315,-0.16269284712482468,1,0,0,0,0,2345000,2345000,Jbl,Bluetooth,450961.53846153844,59669.21119592876
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-samsung-galaxy-buds-3-pro-kich-hoat-online.html,Tai nghe Bluetooth Samsung Galaxy Buds 3 Pro - Đã kích hoạt online - Hàng mới nguyên seal,5.400.000đ,1.4319727891156462,Samsung,in-ear,0,1,1,Bluetooth,0.38421052631578934,-0.16175783076203834,1,0,0,0,0,5400000,5400000,Other,Bluetooth,999999.9999999999,157434.40233236153
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-xiaomi-redmi-buds-6-pro.html,Tai nghe không dây Xiaomi Redmi Buds 6 Pro,2.490.000đ,0.4421768707482993,Xiaomi,in-ear,0,1,0,Bluetooth,-0.9473684210526315,-0.16269284712482468,1,0,0,0,0,2490000,2490000,Xiaomi,Bluetooth,478846.1538461538,276666.6666666667
